wl,sample11m,sample12m,sample13m,sample14m,sample15m,sample16m,sample17m,sample18m,sample19m,sample20m,sample21m,sample22m,sample23m,sample24m,sample25m,sample26m,sample27m,sample28m,sample29m,sample30m,sample31p,sample32p,sample33p,sample34p,sample35p,sample36p,sample37p,sample38p,sample39f,sample40f,sample41f,sample42f,sample43f,sample44f,sample45f,sample46f,sample47f ,sample48f,sample49f,sample50f,sample51f,sample52f,sample53t,sample54t,sample55t,sample56t,sample57t,sample58t,sample59t,sample60t,sample61t,sample62t,sample63t,sample64t,sample65t,sample66t,sample67t,sample68t,sample69t,sample70t,sample71t,sample72t,sample73t,sample74t,sample75t,sample76t,sample77t,sample78t,sample79t,sample80t,sample81t,sample82t,sample83t
491.907,15.57,16.98,19.13,17.74333333,18.54,19.44666667,19.28333333,16.77,18.13666667,17.178,17.71333333,15.51333333,16.42,13.9625,18.315,18.04166667,16.55,18.765,18.77166667,16.92,17.2475,16.62666667,18.3175,16.1275,17.88,18.108,16.48666667,17.6575,3.4,3.82,2.7,1.575,2.086666667,1.64,3.076666667,2.4875,2.4,1.71,3.2225,1.885,2.176666667,1.906666667,2.89,3.853333333,2.733333333,2.816666667,5.953333333,4.356666667,3.19,5.196666667,4.876666667,4.953333333,2.533333333,2.843333333,2.38,5.513333333,4.34,1.99,3.793333333,1.15,2.996666667,2.873333333,3.01,2.05,2.343333333,4.866666667,4.84,3.483333333,4.056666667,3.49,3.256666667,3.176666667,3.1825
492.261,15.54,16.96333333,19.14,17.73666667,18.53,19.45333333,19.26333333,16.77333333,18.14,17.15,17.67666667,15.48,16.38333333,13.9325,18.3025,18.045,16.525,18.7575,18.75833333,16.88333333,17.235,16.6,18.2825,16.1075,17.88333333,18.09,16.48333333,17.625,3.41,3.836666667,2.715,1.59,2.096666667,1.643333333,3.083333333,2.4925,2.41,1.716666667,3.2275,1.895,2.186666667,1.92,2.9,3.863333333,2.736666667,2.813333333,5.97,4.37,3.206666667,5.213333333,4.89,4.963333333,2.54,2.85,2.393333333,5.533333333,4.343333333,1.99,3.836666667,1.153333333,3.003333333,2.896666667,3.033333333,2.06,2.35,4.88,4.843333333,3.503333333,4.063333333,3.5,3.266666667,3.196666667,3.19
492.614,15.5,16.94333333,19.13666667,17.72666667,18.52,19.44666667,19.25,16.75333333,18.12,17.116,17.62666667,15.44,16.35,13.9,18.2825,18.045,16.4875,18.74,18.745,16.85333333,17.19,16.56333333,18.2475,16.08,17.87,18.066,16.47,17.5975,3.423333333,3.843333333,2.71,1.59,2.096666667,1.646666667,3.093333333,2.495,2.4075,1.713333333,3.2275,1.905,2.19,1.92,2.91,3.873333333,2.743333333,2.83,5.996666667,4.376666667,3.223333333,5.23,4.9,4.976666667,2.543333333,2.856666667,2.41,5.556666667,4.356666667,1.993333333,3.876666667,1.163333333,3.013333333,2.916666667,3.056666667,2.073333333,2.363333333,4.9,4.856666667,3.523333333,4.076666667,3.516666667,3.286666667,3.22,3.205
492.967,15.44666667,16.92666667,19.13333333,17.70666667,18.49333333,19.43666667,19.22666667,16.73666667,18.10333333,17.086,17.60333333,15.41,16.33333333,13.88,18.2725,18.05333333,16.475,18.7325,18.74833333,16.84333333,17.14,16.52,18.205,16.025,17.84,18.014,16.43333333,17.5575,3.42,3.843333333,2.715,1.595,2.1,1.643333333,3.086666667,2.4925,2.405,1.706666667,3.22,1.91,2.196666667,1.923333333,2.93,3.88,2.75,2.836666667,6.013333333,4.383333333,3.24,5.243333333,4.91,4.976666667,2.546666667,2.863333333,2.43,5.566666667,4.376666667,2,3.923333333,1.17,3.026666667,2.943333333,3.086666667,2.09,2.376666667,4.913333333,4.863333333,3.533333333,4.093333333,3.536666667,3.31,3.24,3.215
493.321,15.4,16.89,19.12,17.68666667,18.47666667,19.43,19.21333333,16.71666667,18.08666667,17.05,17.55333333,15.38666667,16.30333333,13.8525,18.2625,18.05166667,16.4475,18.72,18.73833333,16.82666667,17.0975,16.47333333,18.1775,15.995,17.82666667,17.972,16.41,17.5175,3.416666667,3.843333333,2.725,1.6,2.096666667,1.64,3.093333333,2.5,2.4,1.7,3.22,1.915,2.2,1.923333333,2.95,3.883333333,2.753333333,2.836666667,6.04,4.393333333,3.253333333,5.263333333,4.926666667,4.983333333,2.553333333,2.876666667,2.45,5.58,4.383333333,2.006666667,3.96,1.183333333,3.03,2.96,3.106666667,2.096666667,2.38,4.923333333,4.87,3.54,4.11,3.55,3.323333333,3.256666667,3.2275
493.674,15.35333333,16.86,19.10666667,17.68666667,18.46666667,19.44,19.2,16.69666667,18.08,17.012,17.51,15.34333333,16.27,13.8125,18.2325,18.03833333,16.405,18.6925,18.71333333,16.79333333,17.045,16.43666667,18.1475,15.955,17.79666667,17.936,16.38666667,17.475,3.436666667,3.856666667,2.73,1.61,2.103333333,1.64,3.09,2.4925,2.3925,1.696666667,3.22,1.925,2.2,1.933333333,2.97,3.9,2.756666667,2.843333333,6.063333333,4.406666667,3.27,5.283333333,4.94,5,2.556666667,2.883333333,2.463333333,5.593333333,4.396666667,2.02,4.006666667,1.19,3.043333333,2.983333333,3.136666667,2.113333333,2.386666667,4.94,4.88,3.563333333,4.123333333,3.566666667,3.346666667,3.276666667,3.24
494.027,15.31333333,16.83,19.08333333,17.67333333,18.45666667,19.43333333,19.17,16.69333333,18.08,16.98,17.47333333,15.31666667,16.23333333,13.775,18.195,18.02333333,16.375,18.6675,18.68666667,16.75,17,16.4,18.115,15.92,17.79,17.904,16.37666667,17.435,3.443333333,3.866666667,2.735,1.615,2.113333333,1.64,3.093333333,2.495,2.3975,1.7,3.225,1.93,2.206666667,1.94,2.99,3.9,2.756666667,2.853333333,6.086666667,4.413333333,3.286666667,5.306666667,4.95,5.006666667,2.563333333,2.893333333,2.483333333,5.606666667,4.406666667,2.026666667,4.056666667,1.186666667,3.05,3.003333333,3.163333333,2.123333333,2.393333333,4.953333333,4.876666667,3.573333333,4.133333333,3.583333333,3.37,3.3,3.2575
494.38,15.29,16.79666667,19.05,17.68333333,18.45333333,19.44333333,19.13333333,16.69,18.07666667,16.94,17.42666667,15.29,16.18666667,13.7225,18.15,18.005,16.3275,18.63,18.64,16.7,16.9825,16.36333333,18.085,15.9,17.78333333,17.886,16.36333333,17.4125,3.443333333,3.876666667,2.745,1.615,2.113333333,1.646666667,3.103333333,2.4975,2.3975,1.703333333,3.24,1.93,2.21,1.94,3.01,3.903333333,2.766666667,2.866666667,6.113333333,4.423333333,3.306666667,5.333333333,4.963333333,5.023333333,2.563333333,2.896666667,2.5,5.623333333,4.416666667,2.03,4.106666667,1.19,3.063333333,3.023333333,3.19,2.133333333,2.406666667,4.963333333,4.886666667,3.593333333,4.143333333,3.603333333,3.393333333,3.32,3.27
494.734,15.28,16.77,19.01666667,17.69,18.45666667,19.44666667,19.06666667,16.67666667,18.08,16.926,17.40333333,15.26,16.15666667,13.69,18.1325,18,16.2975,18.5975,18.595,16.65,16.9575,16.32666667,18.0475,15.8675,17.77333333,17.868,16.34333333,17.365,3.456666667,3.896666667,2.76,1.63,2.123333333,1.66,3.116666667,2.5075,2.405,1.71,3.2425,1.94,2.22,1.94,3.03,3.926666667,2.776666667,2.88,6.146666667,4.44,3.33,5.36,4.983333333,5.023333333,2.573333333,2.92,2.526666667,5.646666667,4.433333333,2.043333333,4.153333333,1.203333333,3.083333333,3.056666667,3.233333333,2.15,2.423333333,4.986666667,4.903333333,3.623333333,4.173333333,3.633333333,3.426666667,3.356666667,3.29
495.087,15.27333333,16.75666667,18.97666667,17.70666667,18.46,19.45666667,18.99333333,16.69,18.09666667,16.888,17.34666667,15.21666667,16.10333333,13.6375,18.1,17.98,16.25,18.5625,18.53333333,16.58,16.955,16.30333333,18.005,15.8525,17.77333333,17.866,16.34666667,17.3225,3.476666667,3.92,2.795,1.645,2.136666667,1.663333333,3.126666667,2.51,2.415,1.716666667,3.26,1.95,2.236666667,1.96,3.06,3.953333333,2.786666667,2.91,6.19,4.463333333,3.353333333,5.393333333,5.01,5.046666667,2.58,2.94,2.553333333,5.673333333,4.453333333,2.053333333,4.216666667,1.213333333,3.1,3.086666667,3.273333333,2.166666667,2.433333333,5.013333333,4.923333333,3.646666667,4.196666667,3.66,3.45,3.386666667,3.3075
