tri_maleblue_ds,tri_femaleblue_ds,tri_maleblack_ds,tri_femaleblack_ds,tri_maleblue_dl,tri_femaleblue_dl,tri_maleblack_dl,tri_femaleblack_dl,tetra_maleblue_ds,tetra_femaleblue ds,tetra_maleblack_ds,tetra_femaleblack_ds,tetra_maleblue_dl,tetra_femaleblue_dl,tetra_maleblack_dl,tetra_femaleblack_dl,tri_male_contrat_ds,tri_female_contrast_ds,tri_male_contrat_dl,tri_female_contrast_dl,tetra_male_contrat_ds,tetra_female_contrast_ds,tetra_male_contrat_dl,tetra_female_contrast_dl
0.546459652,0.681450546,,,3.149277491,3.695560419,,,3.432515011,0.439306822,,,2.210724427,3.67011611,,,,,,,,,,
0.522425454,1.006713549,,,3.034050173,2.544905122,,,3.469066994,1.447024061,,,2.082738415,2.681142128,,,,,,,,,,
0.121694693,0.551267803,,,0.264368263,5.721541278,,,5.013791585,0.331978437,,,-0.411490276,5.502842553,,,,,,,,,,
0.117603454,0.346722161,,,0.913247956,5.066604481,,,5.03784058,0.091380537,,,-0.067787841,4.899947135,,,,,,,,,,
0.126429344,1.291933374,,,0.912770297,4.718205356,,,5.047070323,1.273062096,,,-0.068918697,4.620996055,,,,,,,,,,
0.12317473,1.982018782,,,0.743689112,4.844074206,,,5.028568617,2.541754598,,,-0.16689921,4.954620822,,,,,,,,,,
0.000795335,1.897499346,,,2.091688543,4.555737391,,,3.706714512,2.198053488,,,1.048450802,4.518768311,,,,,,,,,,
0.023397622,1.386984475,,,2.148899171,3.737945204,,,3.718562513,2.165477414,,,1.106508217,3.972814936,,,,,,,,,,
0.133478422,,,,1.713177512,,,,4.314813493,,,,0.549253372,,,,,,,,,,,
0.184416959,,,,1.354994291,,,,4.383615079,,,,0.282775484,,,,,,,,,,,
